Squark,tanb,MA,diagrams,who,ReFinAvg,ReFinErr,ReDivAvg,ReDivErr,ImFinAvg,ImFinErr,ImDivAvg,ImDivErr,msq1,msq2,Aq,lam,eps,TIME,alphaqs,mu
sbot,12,1500,SUM,KIT,-3.2984372028257574,0.06817068179406735,7.150253936949458e-05,0.00010158318723487293,0.11767364913224987,0.054670357292645994,-4.112543702496667e-05,9.551629997825674e-05,1465.048918067441,1505.6717470075796,3584.27375843,0.0001,1e-09,1791.01778579,,
stop,13,1500,SUM,KIT,-3.3060378571103985,0.06997320259227448,1.0333583478572272e-05,0.00012943798895404324,0.25407489673889994,0.06749065259060055,0.0009661426035694457,0.0008957538994365738,1353.4631432416788,1650.3164755060855,2661.50403579,0.0001,1e-09,1997.68956685,,
sbot,13,1500,SUM,KIT,-3.492685466834329,0.07841486384549325,7.150256436949666e-05,0.00010158318726907318,0.08504492089331017,0.05893584014911395,-4.1125513499696e-05,9.551630005448045e-05,1464.7189635164987,1506.5838951074695,3865.35049951,0.0001,1e-09,1801.23755884,,
stop,14,1500,SUM,KIT,-3.9164012285258,0.0812482094078153,1.0333385378591407e-05,0.00012943798883396552,0.0873817838469999,0.06846237793571025,0.0009661412331510973,0.0008957538983523694,1353.4618091079076,1650.3155401147942,2656.01103446,0.0001,1e-09,1995.18185401,,
sbot,14,1500,SUM,KIT,-3.6905539105267104,0.07374700773930576,7.150256136945199e-05,0.00010158318725892296,0.08117855929558981,0.05844601278385074,-4.969174952035886e-05,9.5634097791135e-05,1464.3781224003023,1507.5112011504389,4175.69114496,0.0001,1e-09,1836.1622901,,
stop,15,1500,SUM,KIT,-3.9015602666149007,0.08315866163554622,1.0333457278521864e-05,0.0001294379887607924,0.15479334709979994,0.07339091069253885,0.000966140231391658,0.0008957538995335039,1353.4607312215458,1650.3147843860233,2651.25034495,0.0001,1e-09,1997.91389084,,
sbot,15,1500,SUM,KIT,-3.8512090204996414,0.07743470663772517,7.150257036947494e-05,0.00010158318722966064,0.13205188040759108,0.05786339781403151,-4.969191194908905e-05,9.563409767585357e-05,1464.0302492707874,1508.4493634290714,4512.01373906,0.0001,1e-09,1759.56499314,,
stop,16,1500,SUM,KIT,-4.272225890601601,0.08920097506385015,-3.334359762152683e-05,0.00012952565097351543,0.35655314576819985,0.0783339795292464,0.001214436755237814,0.0008951701549841812,1353.4598480015745,1650.3141651430726,2647.08467405,0.0001,1e-09,1998.07891798,,
sbot,16,1500,SUM,KIT,-4.116733402787862,0.07978207766776914,7.150255336951794e-05,0.00010158318724392625,0.2306807368912001,0.059758052182608816,-4.969192773820906e-05,9.563409766760511e-05,1463.6788342996285,1509.3950933561434,4871.67265439,0.0001,1e-09,1747.62955284,,
stop,17,1500,SUM,KIT,-4.404740281346201,0.08954868993002417,-3.3343685621356485e-05,0.00012952565091628557,0.18814510422929998,0.07850307620038269,0.0006990476617417925,0.0008950117494019315,1353.4591152937235,1650.3136514279015,2643.40902954,0.0001,1e-09,1993.2144978,,
sbot,17,1500,SUM,KIT,-4.4776100260758005,0.07728180687610484,7.150254536947287e-05,0.000101583187229935,0.18094498112466573,0.0670924643288872,-4.1125521724686135e-05,9.551629997328768e-05,1463.3270189136883,1510.345816775792,5252.55472444,0.0001,1e-09,1427.64138794,,
stop,18,1500,SUM,KIT,-4.532728323606901,0.09144774552397414,-3.334381362141148e-05,0.0001295256509406785,0.21026993283460005,0.08498167598864917,0.0006990445557763492,0.0008950117490152154,1353.4585007764028,1650.3132205788513,2640.14174851,0.0001,1e-09,1997.17804313,,
sbot,18,1500,SUM,KIT,-4.634312518031432,0.0789824587891388,7.150255836951834e-05,0.00010158318725691121,0.1474680203888712,0.07286251635313246,-2.589424916862064e-05,9.54839436953499e-05,1462.9776192856918,1511.299466970704,5652.98150957,0.0001,1e-09,1756.95575881,,
stop,19,1500,SUM,KIT,-4.789413712976501,0.09699858867263912,-3.3343638621397e-05,0.00012952565105982838,0.22024594650540008,0.09025219380323384,-3.562549341410081e-05,0.0008947684868288573,1353.4579803530823,1650.312855701161,2637.21835865,0.0001,1e-09,1996.96161413,,
sbot,19,1500,SUM,KIT,-4.732828961352059,0.09425842918682856,7.150256436949666e-05,0.00010158318727419355,0.2647164120048182,0.06193052987784376,-2.5894233836801488e-05,9.548394373172232e-05,1462.6331482537912,1512.2543467446876,6071.62391506,0.0001,1e-09,1851.7279489,,
stop,20,1500,SUM,KIT,-5.359397901178801,0.10786248441716384,-3.334373962149417e-05,0.00012952565104481728,0.3631543409207001,0.09444853035237176,0.0012144373808014842,0.0008951701561793043,1353.4575357645915,1650.3125439928406,2634.58728094,0.0001,1e-09,1998.06042194,,
sbot,20,1500,SUM,KIT,-4.924894740574501,0.08876609256530445,7.150255236942904e-05,0.00010158318725480799,0.10776278661167016,0.07235741434607887,-4.969168055273558e-05,9.563409779183092e-05,1462.2958429724897,1513.2090313996216,6507.43221062,0.0001,1e-09,1775.514364,,
stop,40,1500,SUM,KIT,-10.1041325395719,0.18096578175017908,1.0333368378634413e-05,0.00012943798859474994,0.4898891310320001,0.1649282027178443,0.0009661409508246156,0.0008957538979686502,1353.454442687608,1650.3103753925875,2609.59076813,0.0001,1e-09,1815.97027993,,
sbot,40,1500,SUM,KIT,-10.026165712293327,0.11572844625588086,7.150255936949623e-05,0.00010158318725919684,0.0851594764125101,0.10303629081896104,-2.589416620632389e-05,9.548394374831854e-05,1458.9579606355971,1531.1411111828759,18236.6101488,0.0001,1e-09,2261.092978,,
